TA0043,TA0042,TA0001,TA0002,TA0003,TA0004,TA0005,TA0006,TA0007,TA0008,TA0009,TA0011,TA0010,TA0040
T1590.006,T1587,T1078.002,T1053,T1547.005,T1547.010,T1484,T1606,T1135,T1550.001,T1602.002,T1573,,T1499.002
T1590.004,T1587.002,T1078.003,T1053.002,T1547.009,T1547.012,T1484.002,T1606.002,T1040,T1550.002,T1602.001,T1573.002,,T1495
T1590.003,T1587.003,,T1053.007,T1547.003,T1547.007,T1484.001,T1606.001,T1201,T1550.003,T1213,T1573.001,,T1490
T1591,T1587.004,,T1053.003,T1547.004,T1547.001,T1480,T1056,T1120,T1550.004,T1213.003,T1008,,T1498
T1591.002,T1587.001,,T1053.005,T1547.013,T1547.005,T1480.001,T1056.004,T1069,,T1213.001,T1105,,T1498.001
T1591.001,T1585,,T1053.006,T1037,T1547.009,T1211,T1056.002,T1069.003,,T1213.002,T1104,,T1498.002
T1591.003,T1585.002,,T1129,T1037.002,T1547.003,T1222,T1056.001,T1069.002,,T1005,T1095,,T1496
T1591.004,T1585.001,,T1072,T1037.001,T1547.004,T1222.002,T1056.003,T1069.001,,T1039,T1571,,T1489
T1598,T1588,,T1569,T1037.003,T1547.013,T1222.001,T1556,T1057,,T1025,T1572,,T1529
T1598.002,T1588.003,,T1569.001,T1037.004,T1037,T1564,T1556.001,T1012,,T1114,T1090,,
T1598.003,T1588.004,,T1569.002,T1037.005,T1037.002,T1564.008,T1556.004,T1018,,T1114.003,T1090.004,,
T1598.001,T1588.005,,T1204,T1176,T1037.001,T1564.005,T1556.002,T1518,,T1114.001,T1090.002,,
T1597,T1588.001,,T1204.002,T1554,T1037.003,T1564.001,T1556.003,T1518.001,,T1114.002,T1090.001,,
T1597.002,T1588.002,,T1204.003,T1136,T1037.004,T1564.002,T1556.005,T1082,,T1056,T1090.003,,
T1597.001,T1588.006,,T1204.001,T1136.003,T1037.005,T1564.003,T1111,T1614,,T1056.004,T1219,,
T1596,T1608,,T1047,T1136.002,T1543,T1564.004,T1621,T1614.001,,T1056.002,T1205,,
T1596.004,T1608.004,,,T1136.001,T1543.001,T1564.010,T1040,T1016,,T1056.001,T1205.001,,
T1596.001,T1608.003,,,T1543,T1543.004,T1564.009,T1003,T1016.001,,T1056.003,T1102,,
T1596.003,T1608.005,,,T1543.001,T1543.002,T1564.006,T1003.008,T1049,,T1113,T1102.002,,
T1596.005,T1608.001,,,T1543.004,T1543.003,T1564.007,T1003.005,T1033,,T1125,T1102.001,,
T1596.002,T1608.002,,,T1543.002,T1484,T1574,T1003.006,T1007,,,T1102.003,,
T1593,,,,T1543.003,T1484.002,T1574.012,T1003.004,T1124,,,,,
T1593.002,,,,T1546,T1484.001,T1574.001,T1003.001,T1497,,,,,
T1593.001,,,,T1546.008,T1611,T1574.002,T1003.003,T1497.001,,,,,
T1594,,,,T1546.009,T1546,T1574.004,T1003.007,T1497.003,,,,,
,,,,T1546.010,T1546.008,T1574.006,T1003.002,T1497.002,,,,,
,,,,T1546.011,T1546.009,T1574.005,T1528,,,,,,
,,,,T1546.001,T1546.010,T1574.013,T1539,,,,,,
,,,,T1546.015,T1546.011,T1574.007,T1558,,,,,,
,,,,T1546.014,T1546.001,T1574.008,T1558.004,,,,,,
,,,,T1546.012,T1546.015,T1574.009,T1558.001,,,,,,
,,,,T1546.006,T1546.014,T1574.010,T1558.003,,,,,,
,,,,T1546.007,T1546.012,T1574.011,T1558.002,,,,,,
,,,,T1546.013,T1546.006,T1562,T1552,,,,,,
,,,,T1546.002,T1546.007,T1562.008,T1552.003,,,,,,
,,,,T1546.005,T1546.013,T1562.002,T1552.005,,,,,,
,,,,T1546.004,T1546.002,T1562.007,T1552.007,,,,,,
,,,,T1546.003,T1546.005,T1562.004,T1552.001,,,,,,
,,,,T1133,T1546.004,T1562.001,T1552.002,,,,,,
,,,,T1574,T1546.003,T1562.010,T1552.006,,,,,,
,,,,T1574.012,T1068,T1562.003,T1552.004,,,,,,
,,,,T1574.001,T1574,T1562.006,,,,,,,
,,,,T1574.002,T1574.012,T1562.009,,,,,,,
,,,,T1574.004,T1574.001,T1070,,,,,,,
,,,,T1574.006,T1574.002,T1070.003,,,,,,,
,,,,T1574.005,T1574.004,T1070.002,,,,,,,
,,,,T1574.013,T1574.006,T1070.001,,,,,,,
,,,,T1574.007,T1574.005,T1070.004,,,,,,,
,,,,T1574.008,T1574.013,T1070.005,,,,,,,
,,,,T1574.009,T1574.007,T1070.006,,,,,,,
,,,,T1574.010,T1574.008,T1202,,,,,,,
,,,,T1574.011,T1574.009,T1036,,,,,,,
,,,,T1525,T1574.010,T1036.007,,,,,,,
,,,,T1556,T1574.011,T1036.001,,,,,,,
,,,,T1556.001,T1055,T1036.004,,,,,,,
,,,,T1556.004,T1055.004,T1036.005,,,,,,,
,,,,T1556.002,T1055.001,T1036.003,,,,,,,
,,,,T1556.003,T1055.011,T1036.002,,,,,,,
,,,,T1556.005,T1055.015,T1036.006,,,,,,,
,,,,T1137,T1055.002,T1556,,,,,,,
,,,,T1137.006,T1055.009,T1556.001,,,,,,,
,,,,T1137.001,T1055.013,T1556.004,,,,,,,
,,,,T1137.002,T1055.012,T1556.002,,,,,,,
,,,,T1137.003,T1055.008,T1556.003,,,,,,,
,,,,T1137.004,T1055.003,T1556.005,,,,,,,
,,,,T1137.005,T1055.005,T1578,,,,,,,
,,,,T1542,T1055.014,T1578.002,,,,,,,
,,,,T1542.003,T1053,T1578.001,,,,,,,
,,,,T1542.002,T1053.002,T1578.003,,,,,,,
,,,,T1542.004,T1053.007,T1578.004,,,,,,,
,,,,T1542.001,T1053.003,T1112,,,,,,,
,,,,T1542.005,T1053.005,T1601,,,,,,,
,,,,T1053,T1053.006,T1601.002,,,,,,,
,,,,T1053.002,T1078,T1601.001,,,,,,,
,,,,T1053.007,T1078.004,T1599,,,,,,,
,,,,T1053.003,T1078.001,T1599.001,,,,,,,
,,,,T1053.005,T1078.002,T1027,,,,,,,
,,,,T1053.006,T1078.003,T1027.001,,,,,,,
,,,,T1505,,T1027.004,,,,,,,
,,,,T1505.004,,T1027.006,,,,,,,
,,,,T1505.001,,T1027.005,,,,,,,
,,,,T1505.005,,T1027.002,,,,,,,
,,,,T1505.002,,T1027.003,,,,,,,
,,,,T1505.003,,T1647,,,,,,,
,,,,T1205,,T1542,,,,,,,
,,,,T1205.001,,T1542.003,,,,,,,
,,,,T1078,,T1542.002,,,,,,,
,,,,T1078.004,,T1542.004,,,,,,,
,,,,T1078.001,,T1542.001,,,,,,,
,,,,T1078.002,,T1542.005,,,,,,,
,,,,T1078.003,,T1055,,,,,,,
,,,,,,T1055.004,,,,,,,
,,,,,,T1055.001,,,,,,,
,,,,,,T1055.011,,,,,,,
,,,,,,T1055.015,,,,,,,
,,,,,,T1055.002,,,,,,,
,,,,,,T1055.009,,,,,,,
,,,,,,T1055.013,,,,,,,
,,,,,,T1055.012,,,,,,,
,,,,,,T1055.008,,,,,,,
,,,,,,T1055.003,,,,,,,
,,,,,,T1055.005,,,,,,,
,,,,,,T1055.014,,,,,,,
,,,,,,T1620,,,,,,,
,,,,,,T1207,,,,,,,
,,,,,,T1014,,,,,,,
,,,,,,T1553,,,,,,,
,,,,,,T1553.002,,,,,,,
,,,,,,T1553.006,,,,,,,
,,,,,,T1553.001,,,,,,,
,,,,,,T1553.004,,,,,,,
,,,,,,T1553.005,,,,,,,
,,,,,,T1553.003,,,,,,,
,,,,,,T1218,,,,,,,
,,,,,,T1218.003,,,,,,,
,,,,,,T1218.001,,,,,,,
,,,,,,T1218.002,,,,,,,
,,,,,,T1218.004,,,,,,,
,,,,,,T1218.014,,,,,,,
,,,,,,T1218.013,,,,,,,
,,,,,,T1218.005,,,,,,,
,,,,,,T1218.007,,,,,,,
,,,,,,T1218.008,,,,,,,
,,,,,,T1218.009,,,,,,,
,,,,,,T1218.010,,,,,,,
,,,,,,T1218.011,,,,,,,
,,,,,,T1218.012,,,,,,,
,,,,,,T1216,,,,,,,
,,,,,,T1216.001,,,,,,,
,,,,,,T1221,,,,,,,
,,,,,,T1205,,,,,,,
,,,,,,T1205.001,,,,,,,
,,,,,,T1127,,,,,,,
,,,,,,T1127.001,,,,,,,
,,,,,,T1535,,,,,,,
,,,,,,T1550,,,,,,,
,,,,,,T1550.001,,,,,,,
,,,,,,T1550.002,,,,,,,
,,,,,,T1550.003,,,,,,,
,,,,,,T1550.004,,,,,,,
,,,,,,T1078,,,,,,,
,,,,,,T1078.004,,,,,,,
,,,,,,T1078.001,,,,,,,
,,,,,,T1078.002,,,,,,,
,,,,,,T1078.003,,,,,,,
,,,,,,T1497,,,,,,,
,,,,,,T1497.001,,,,,,,
,,,,,,T1497.003,,,,,,,
,,,,,,T1497.002,,,,,,,
,,,,,,T1600,,,,,,,
,,,,,,T1600.002,,,,,,,
,,,,,,T1600.001,,,,,,,
,,,,,,T1220,,,,,,,
